Year,Product,Quantity
1999,Coffe & tea & spices,3603.739
2000,Coffe & tea & spices,3441.755
2001,Coffe & tea & spices,2400.731
2002,Coffe & tea & spices,2454.959
2003,Coffe & tea & spices,2871.855
2004,Coffe & tea & spices,3144.276
2005,Coffe & tea & spices,3770.808
2006,Coffe & tea & spices,4194.912
2007,Coffe & tea & spices,4791.202
2008,Coffe & tea & spices,5580.842
2009,Coffe & tea & spices,5160.341
2010,Coffe & tea & spices,6265.019
2011,Coffe & tea & spices,9715.769
2012,Coffe & tea & spices,8725.69
2013,Coffe & tea & spices,7633.188
2014,Coffe & tea & spices,8298.813
2015,Coffe & tea & spices,8536.214
2016,Coffe & tea & spices,8310.906
2017,Coffe & tea & spices,9068.848
1999,Vegetables,3631.587
2000,Vegetables,3771.363
2001,Vegetables,4156.609
2002,Vegetables,4391.086
2003,Vegetables,5082.412
2004,Vegetables,5729.987
2005,Vegetables,6043.082
2006,Vegetables,6619.295
2007,Vegetables,7256.042
2008,Vegetables,7800.571
2009,Vegetables,7525.205
2010,Vegetables,8705.586
2011,Vegetables,9666.64
2012,Vegetables,9945.597
2013,Vegetables,10733.513
2014,Vegetables,10929.738
2015,Vegetables,11290.193
2016,Vegetables,12469.205
2017,Vegetables,12742.979
1999,Fruit,4764.456
2000,Fruit,4629.477
2001,Fruit,4665.207
2002,Fruit,5067.561
2003,Fruit,5557.736
2004,Fruit,5962.378
2005,Fruit,6873.761
2006,Fruit,7707.091
2007,Fruit,9217.309
2008,Fruit,9888.158
2009,Fruit,9639.785
2010,Fruit,10648.976
2011,Fruit,11973.913
2012,Fruit,12537.873
2013,Fruit,13602.256
2014,Fruit,14807.721
2015,Fruit,15954.863
2016,Fruit,17157.015
2017,Fruit,18383.124
1999,Cocoa & chocolate,1522.497
2000,Cocoa & chocolate,1404.471
2001,Cocoa & chocolate,1535.932
2002,Cocoa & chocolate,1760.854
2003,Cocoa & chocolate,2439.231
2004,Cocoa & chocolate,2484.383
2005,Cocoa & chocolate,2750.601
2006,Cocoa & chocolate,2659.227
2007,Cocoa & chocolate,2661.587
2008,Cocoa & chocolate,3298.821
2009,Cocoa & chocolate,3476.22
2010,Cocoa & chocolate,4295.163
2011,Cocoa & chocolate,4680.551
2012,Cocoa & chocolate,4095.686
2013,Cocoa & chocolate,4158.849
2014,Cocoa & chocolate,4727.952
2015,Cocoa & chocolate,4859.677
2016,Cocoa & chocolate,5080.62
2017,Cocoa & chocolate,5006.537
1999,Cheese,705.223
2000,Cheese,685.255
2001,Cheese,745.91
2002,Cheese,787.967
2003,Cheese,882.236
2004,Cheese,981.752
2005,Cheese,1006.657
2006,Cheese,1029.438
2007,Cheese,1107.273
2008,Cheese,1168.217
2009,Cheese,1004.352
2010,Cheese,967.031
2011,Cheese,1072.952
2012,Cheese,1093.017
2013,Cheese,1145.001
2014,Cheese,1274.747
2015,Cheese,1290.785
2016,Cheese,1262.98
2017,Cheese,1179.027
1999,Wine,2168.718
2000,Wine,2186.397
2001,Wine,2226.624
2002,Wine,2646.196
2003,Wine,3239.818
2004,Wine,3382.291
2005,Wine,3722.496
2006,Wine,4112.282
2007,Wine,4591.404
2008,Wine,4580.372
2009,Wine,3971.614
2010,Wine,4223.419
2011,Wine,4792.788
2012,Wine,5039.912
2013,Wine,5227.434
2014,Wine,5341.378
2015,Wine,5384.611
2016,Wine,5548.627
2017,Wine,5923.823
1999,Wheat,420.717
2000,Wheat,381.728
2001,Wheat,434.723
2002,Wheat,462.84
2003,Wheat,349.164
2004,Wheat,442.939
2005,Wheat,418.078
2006,Wheat,580.974
2007,Wheat,848.827
2008,Wheat,1618.883
2009,Wheat,1167.591
2010,Wheat,1081.025
2011,Wheat,1165.343
2012,Wheat,1306.62
2013,Wheat,1663.587
2014,Wheat,1669.392
2015,Wheat,1360.865
2016,Wheat,1134.682
2017,Wheat,1370.456
